		0.02	110.222	118.957	158.236	50.0	21.5
0.000	0.000	2.02	111.540	120.482	160.425	50.0	30.9
0.000	0.000	2.04	111.088	120.573	160.048	50.0	27.4
0.000	0.000	2.06	111.427	120.716	160.417	50.0	32.9
0.000	0.000	2.08	111.566	120.504	160.500	50.0	29.9
0.000	0.000	2.10	111.118	120.611	160.096	50.0	27.1
0.000	0.000	2.12	111.579	120.869	160.378	50.0	32.1
0.000	0.000	2.14	111.636	120.662	160.370	50.0	32.1
0.000	0.000	2.16	111.288	120.716	160.143	50.0	27.1
0.000	0.000	2.18	111.893	120.786	160.664	50.0	32.3
0.000	0.000	2.20	111.946	120.640	160.763	50.0	34.6
0.000	0.000	2.22	111.117	120.759	160.066	50.0	34.5
0.000	0.000	2.24	111.677	120.723	160.560	50.0	33.1
0.000	0.000	2.26	111.865	120.676	160.661	50.0	34.8
0.000	0.000	2.28	111.172	120.798	160.264	50.0	27.6
0.000	0.000	2.30	111.802	120.828	160.633	50.0	24.9
0.000	0.000	2.32	111.855	120.906	160.630	50.0	30.0
0.000	0.000	2.34	111.186	121.023	160.216	50.0	28.3
0.000	0.000	2.36	111.535	121.176	160.524	50.0	26.6
0.000	0.000	2.38	111.886	121.063	160.551	50.0	29.1
0.000	0.000	2.40	111.241	121.103	160.173	50.0	27.1
0.000	0.000	2.42	111.391	121.151	160.201	50.0	24.4
0.000	0.000	2.44	111.389	121.132	160.292	50.0	31.3
0.000	0.000	2.46	111.371	121.143	160.206	50.0	27.8
0.000	0.000	2.48	111.724	121.046	160.668	50.0	31.7
0.000	0.000	2.50	111.876	120.910	160.816	50.0	30.6
0.000	0.000	2.52	111.360	121.066	160.207	50.0	30.5
0.000	0.000	2.54	111.662	121.195	160.553	50.0	30.8
0.000	0.000	2.56	111.654	121.079	160.568	50.0	29.9
0.000	0.000	2.58	111.341	120.959	160.176	50.0	26.3
0.000	0.000	2.60	111.608	121.103	160.563	50.0	32.8
0.000	0.000	2.62	111.602	121.018	160.531	50.0	35.1
0.000	0.000	2.64	111.236	120.961	160.161	50.0	33.4
0.000	0.000	2.66	111.944	120.916	160.660	50.0	36.1
0.000	0.000	2.68	112.197	120.830	160.834	50.0	36.2
0.000	0.000	2.70	111.369	120.765	160.106	50.0	33.0
0.000	0.000	2.72	111.966	120.678	160.740	50.0	36.1
0.000	0.000	2.74	111.851	120.657	160.729	50.0	35.8
0.000	0.000	2.76	111.301	120.746	160.157	50.0	34.8
0.000	0.000	2.78	111.617	120.844	160.409	50.0	24.4
0.000	0.000	2.80	111.750	120.607	160.561	50.0	29.8
0.000	0.000	2.82	111.249	120.754	160.057	50.0	28.3
0.000	0.000	2.84	111.562	120.944	160.266	50.0	29.3
0.000	0.000	2.86	111.818	120.701	160.512	50.0	31.3
0.000	0.000	2.88	111.163	120.669	160.033	50.0	31.5
0.000	0.000	2.90	111.672	120.753	160.554	50.0	28.8
0.000	0.000	2.92	112.008	120.644	160.647	50.0	32.5
0.000	0.000	2.94	111.158	120.737	159.967	50.0	32.7
0.000	0.000	2.96	111.755	120.802	160.484	50.0	32.3
0.000	0.000	2.98	111.697	120.803	160.488	50.0	29.7
0.000	0.000	3.00	111.215	120.823	159.964	50.0	32.2
0.000	0.000	3.02	111.596	121.048	160.202	50.0	34.6
0.000	0.000	3.04	111.675	120.876	160.462	50.0	34.0
0.000	0.000	3.06	111.081	120.853	159.740	50.0	35.2
0.000	0.000	3.08	111.351	120.959	160.115	50.0	36.3
0.000	0.000	3.10	111.476	120.956	160.101	50.0	34.5
0.000	0.000	3.12	111.129	120.838	159.932	50.0	23.7
0.000	0.000	3.14	111.742	121.025	160.549	50.0	28.0
0.000	0.000	3.16	112.005	120.908	160.592	50.0	32.6
0.000	0.000	3.18	111.206	120.808	159.975	50.0	27.3
0.000	0.000	3.20	111.747	120.807	160.489	50.0	31.1
0.000	0.000	3.22	111.850	120.853	160.459	50.0	33.1
0.000	0.000	3.24	111.199	120.956	160.022	50.0	27.2
0.000	0.000	3.26	111.684	120.871	160.492	50.0	31.0
0.000	0.000	3.28	111.779	120.875	160.412	50.0	35.4
0.000	0.000	3.30	111.277	120.866	159.979	50.0	33.8
0.000	0.000	3.32	111.492	120.892	160.331	50.0	35.7
0.000	0.000	3.34	111.682	120.655	160.383	50.0	37.9
0.000	0.000	3.36	111.306	120.711	159.996	50.0	37.1
0.000	0.000	3.38	111.057	120.776	159.905	50.0	36.8
0.000	0.000	3.40	111.025	120.739	159.889	50.0	34.8
0.000	0.000	3.42	110.912	120.636	159.812	50.0	37.9
0.000	0.000	3.44	111.527	120.578	160.376	50.0	37.6
0.000	0.000	3.46	111.541	120.600	160.223	50.0	36.7
0.000	0.000	3.48	110.996	120.609	159.981	50.0	34.6
0.000	0.000	3.50	111.416	120.763	160.178	50.0	36.0
0.000	0.000	3.52	111.630	120.547	160.479	50.0	36.3
0.000	0.000	3.54	111.128	120.634	160.052	50.0	31.2
0.000	0.000	3.56	111.525	120.819	160.213	50.0	33.7
0.000	0.000	3.58	111.594	120.617	160.333	50.0	33.5
0.000	0.000	3.60	111.137	120.662	159.930	50.0	32.4
0.000	0.000	3.62	111.747	120.731	160.520	50.0	30.4
0.000	0.000	3.64	111.685	120.463	160.417	50.0	36.6
0.000	0.000	3.66	111.084	120.509	159.699	50.0	34.4
0.000	0.000	3.68	111.563	120.345	160.301	50.0	36.8
0.000	0.000	3.70	111.630	120.501	160.080	50.0	33.9
0.000	0.000	3.72	111.134	120.594	159.758	50.0	35.7
0.000	0.000	3.74	111.511	120.516	160.202	50.0	37.9
0.000	0.000	3.76	111.856	120.617	160.284	50.0	36.9
0.000	0.000	3.78	111.341	120.677	159.928	50.0	34.1
0.000	0.000	3.80	111.734	120.849	160.348	50.0	37.4
0.000	0.000	3.82	111.650	120.902	160.316	50.0	36.6
0.000	0.000	3.84	111.362	120.824	160.071	50.0	31.2
0.000	0.000	3.86	111.838	120.979	160.527	50.0	36.3
0.000	0.000	3.88	112.096	120.805	160.707	50.0	37.0
0.000	0.000	3.90	111.217	121.001	159.960	50.0	36.3
0.000	0.000	3.92	111.854	120.930	160.542	50.0	35.3
0.000	0.000	3.94	111.923	120.937	160.482	50.0	36.5
0.000	0.000	3.96	111.327	121.004	160.152	50.0	35.3
0.000	0.000	3.98	111.607	120.676	160.179	50.0	36.4
0.000	0.000	4.00	111.607	120.623	160.315	50.0	35.7
0.000	0.000	4.02	111.047	120.683	159.772	50.0	34.9
0.000	0.000	4.04	111.389	120.762	159.922	50.0	37.6
0.000	0.000	4.06	111.366	120.506	160.052	50.0	36.2
0.000	0.000	4.08	111.064	120.574	159.647	50.0	33.7
0.000	0.000	4.10	111.652	120.603	160.255	50.0	37.1
0.000	0.000	4.12	111.888	120.477	160.163	50.0	37.3
0.000	0.000	4.14	110.963	120.486	159.698	50.0	34.9
0.000	0.000	4.16	111.649	120.377	160.218	50.0	35.1
0.000	0.000	4.18	111.621	120.434	160.126	50.0	36.7
0.000	0.000	4.20	111.096	120.433	159.818	50.0	36.2
0.000	0.000	4.22	111.690	120.472	160.172	50.0	35.8
0.000	0.000	4.24	111.633	120.533	160.172	50.0	36.1
0.000	0.000	4.26	111.197	120.589	159.857	50.0	34.8
0.000	0.000	4.28	111.504	120.708	160.267	50.0	39.0
0.000	0.000	4.30	111.599	120.620	160.326	50.0	34.4
0.000	0.000	4.32	111.136	120.709	159.889	50.0	35.3
0.000	0.000	4.34	111.076	120.676	159.846	50.0	37.4
0.000	0.000	4.36	111.455	120.436	160.173	50.0	36.8
0.000	0.000	4.38	111.087	120.686	159.831	50.0	34.0
0.000	0.000	4.40	111.452	120.875	160.168	50.0	34.9
0.000	0.000	4.42	111.625	120.736	160.437	50.0	36.7
0.000	0.000	4.44	111.240	120.724	159.994	50.0	34.6
0.000	0.000	4.46	111.763	120.686	160.620	50.0	32.6
0.000	0.000	4.48	111.610	120.756	160.580	50.0	29.2
0.000	0.000	4.50	111.200	120.968	160.021	50.0	25.0
0.000	0.000	4.52	111.688	120.884	160.546	50.0	30.3
0.000	0.000	4.54	111.638	121.077	160.413	50.0	30.5
0.000	0.000	4.56	111.302	120.962	160.156	50.0	30.4
