  0.02,120.873,127.771,166.882, 50.0,  0.3
  0.04,120.639,127.533,166.595, 50.0, 20.2
  0.06,120.453,127.424,166.392, 50.0, 20.8
  0.08,120.544,127.501,166.510, 50.0, 21.3
  0.10,120.514,127.473,166.477, 50.0, 21.0
  0.12,120.436,127.415,166.411, 50.0, 20.5
  0.14,120.392,127.361,166.361, 50.0, 21.5
  0.16,120.347,127.319,166.300, 50.0, 21.3
  0.18,120.300,127.285,166.245, 50.0, 21.6
  0.20,120.551,127.344,166.578, 50.0, 20.8
  0.22,120.182,127.317,166.273, 50.0, 22.3
  0.24,120.033,127.191,166.100, 50.0, 21.9
  0.26,120.672,127.240,166.662, 50.0, 21.8
  0.28,120.277,127.021,166.265, 50.0, 23.0
  0.30,119.567,126.609,165.673, 50.0, 20.9
  0.32,119.903,126.753,165.994, 50.0, 22.2
  0.34,119.971,126.691,165.897, 50.0, 22.5
  0.36,119.775,126.425,165.755, 50.0, 21.7
  0.38,119.708,126.421,165.663, 50.0, 22.4
  0.40,119.916,126.358,165.802, 50.0, 23.5
  0.42,119.468,126.338,165.515, 50.0, 20.4
  0.44,119.687,126.243,165.898, 50.0, 18.5
  0.46,119.583,126.202,165.525, 50.0, 23.0
  0.48,119.085,126.081,165.184, 50.0, 20.8
  0.50,119.800,125.994,165.737, 50.0, 21.6
  0.52,119.495,125.914,165.518, 50.0, 20.5
  0.54,118.841,125.800,164.919, 50.0, 19.8
  0.56,119.501,125.822,165.443, 50.0, 20.4
  0.58,119.597,126.030,165.637, 50.0, 23.9
  0.60,119.027,126.079,165.107, 50.0, 21.5
  0.62,119.678,126.098,165.622, 50.0, 21.8
  0.64,119.797,126.177,165.792, 50.0, 21.6
  0.66,119.111,126.196,165.262, 50.0, 21.9
  0.68,119.551,126.145,165.658, 50.0, 23.8
  0.70,119.536,126.141,165.843, 50.0, 21.5
  0.72,118.697,125.810,165.094, 50.0, 21.6
  0.74,119.249,125.813,165.610, 50.0, 21.9
  0.76,119.131,125.721,165.386, 50.0, 23.1
  0.78,118.249,125.541,164.690, 50.0, 19.5
  0.80,118.539,125.349,164.983, 50.0, 21.4
  0.82,118.312,125.167,164.635, 50.0, 22.7
  0.84,117.616,124.937,163.978, 50.0, 19.2
  0.86,117.936,124.676,164.193, 50.0, 19.6
  0.88,117.498,124.482,163.754, 50.0, 20.4
  0.90,116.891,124.388,163.350, 50.0, 18.4
  0.92,117.343,123.960,163.524, 50.0, 19.1
  0.94,116.570,123.551,162.805, 50.0, 21.2
  0.96,116.512,123.674,162.876, 50.0, 22.8
  0.98,116.934,123.738,163.257, 50.0, 22.9
  1.00,116.820,123.564,163.127, 50.0, 24.1
  1.02,116.231,123.530,162.643, 50.0, 21.8
  1.04,116.638,123.309,162.811, 50.0, 21.9
  1.06,116.494,123.159,162.703, 50.0, 22.2
  1.08,115.815,123.017,162.054, 50.0, 21.8
  1.10,116.450,123.082,162.673, 50.0, 20.2
  1.12,116.685,123.294,162.920, 50.0, 20.7
  1.14,116.152,123.292,162.305, 50.0, 20.4
  1.16,116.793,123.429,163.030, 50.0, 23.1
  1.18,116.572,123.274,162.919, 50.0, 22.5
  1.20,116.193,123.363,162.562, 50.0, 21.3
  1.22,116.981,123.542,163.279, 50.0, 21.3
  1.24,117.154,123.534,163.235, 50.0, 23.8
  1.26,116.246,123.662,162.626, 50.0, 23.1
  1.28,116.583,123.338,162.799, 50.0, 23.0
  1.30,116.844,123.535,163.128, 50.0, 24.0
  1.32,116.156,123.471,162.434, 50.0, 23.1
  1.34,115.982,122.681,161.904, 50.0, 23.3
  1.36,115.699,122.404,161.645, 50.0, 24.0
  1.38,113.828,121.469,159.801, 50.0, 21.8
  1.40,111.729,119.427,157.542, 50.0, 23.0
  1.42,110.387,118.399,156.056, 50.0, 23.0
  1.44,110.024,118.211,155.824, 50.0, 22.8
  1.46,109.808,118.013,155.701, 50.0, 22.5
  1.48,110.525,118.465,156.863, 50.0, 21.2
  1.50,111.451,119.747,158.972, 50.0, 21.0
  1.52,112.437,120.704,160.759, 50.0, 22.7
  1.54,113.168,121.736,161.867, 50.0, 23.2
  1.56,113.712,122.484,162.875, 50.0, 23.0
  1.58,114.079,122.871,163.347, 50.0, 23.8
  1.60,115.219,123.649,164.747, 50.0, 24.1
  1.62,115.348,123.967,164.738, 50.0, 22.3
