3.52,124.091,124.091,124.091
3.54,123.087,123.087,123.087
3.56,123.629,123.629,123.629
3.58,124.099,124.099,124.099
3.6,124.143,124.143,124.143
3.62,124.353,124.353,124.353
3.64,123.242,123.242,123.242
3.66,124.276,124.276,124.276
3.68,124.518,124.518,124.518
3.7,124.504,124.504,124.504
3.72,124.677,124.677,124.677
3.74,124.757,124.757,124.757
3.76,124.773,124.773,124.773
3.78,124.738,124.738,124.738
3.8,124.947,124.947,124.947
3.82,125.029,125.029,125.029
3.84,124.397,124.397,124.397
3.86,124.303,124.303,124.303
3.88,124.606,124.606,124.606
3.9,124.036,124.036,124.036
3.92,123.847,123.847,123.847
3.94,124.554,124.554,124.554
3.96,124.495,124.495,124.495
3.98,123.988,123.988,123.988
4,123.955,123.955,123.955
4.02,123.905,123.905,123.905
4.04,124.218,124.218,124.218
4.06,123.914,123.914,123.914
4.08,124.035,124.035,124.035
4.1,124.234,124.234,124.234
4.12,124.494,124.494,124.494
4.14,124.378,124.378,124.378
4.16,124.519,124.519,124.519
4.18,124.608,124.608,124.608
4.2,124.809,124.809,124.809
4.22,124.91,124.91,124.91
4.24,123.152,123.152,123.152
4.26,123.224,123.224,123.224
4.28,123.496,123.496,123.496
4.3,125.044,125.044,125.044
4.32,123.56,123.56,123.56
4.34,123.847,123.847,123.847
4.36,123.365,123.365,123.365
4.38,124.041,124.041,124.041
4.4,124.311,124.311,124.311
4.42,123.713,123.713,123.713
4.44,123.183,123.183,123.183
4.46,123.397,123.397,123.397
4.48,123.588,123.588,123.588
4.5,123.642,123.642,123.642
4.52,123.93,123.93,123.93
4.54,123.935,123.935,123.935
4.56,123.959,123.959,123.959
4.58,124.032,124.032,124.032
4.6,124.217,124.217,124.217
4.62,124.402,124.402,124.402
4.64,124.534,124.534,124.534
4.66,124.651,124.651,124.651
4.68,124.652,124.652,124.652
4.7,124.825,124.825,124.825
4.72,124.563,124.563,124.563
4.74,124.539,124.539,124.539
4.76,125.986,125.986,125.986
4.78,126.209,126.209,126.209
4.8,126.276,126.276,126.276
4.82,126.467,126.467,126.467
4.84,126.502,126.502,126.502
